Team,KickoffYRt,FGPCT,PuntYRt,ATOPPCT,nonrelevant,notrelevant,W
Arizona Cardinals,21.4,70.6,8.2,45.5,27.3,0.455,3
Atlanta Falcons,22.2,96.2,7,51.5,30.9,0.515,7
Baltimore Ravens,22.1,89.7,11.5,53.33333333,32,0.533333333,10
Buffalo Bills,21.2,78.6,6.7,50.83333333,30.5,0.508333333,6
Carolina Panthers,22.4,90.5,6.9,51.33333333,30.8,0.513333333,7
Chicago Bears,19.1,76.7,12.5,53.16666667,31.9,0.531666667,12
Cincinnati Bengals,24.9,82.6,10.7,45.83333333,27.5,0.458333333,6
Cleveland Browns,20.1,76,9.1,47.66666667,28.6,0.476666667,7
Dallas Cowboys,21.8,80.6,5.7,51,30.6,0.51,10
Denver Broncos,20.1,80,4.4,48.16666667,28.9,0.481666667,6
Detroit Lions,24.1,87.5,6.3,52.5,31.5,0.525,6
Green Bay Packers,21.5,81.1,6.6,49.16666667,29.5,0.491666667,6
Houston Texans,24.4,88.1,8.6,50.33333333,30.2,0.503333333,11
Indianapolis Colts,19.8,85.2,9,48.66666667,29.2,0.486666667,10
Jacksonville Jaguars,20.5,88.5,9.8,50.33333333,30.2,0.503333333,5
Kansas City Chiefs,24.4,88.9,11.9,48.33333333,29,0.483333333,12
Las Vegas Raiders,19,84.4,11.6,50.83333333,30.5,0.508333333,4
Los Angeles Chargers,23.3,82.8,10.5,50.83333333,30.5,0.508333333,12
Los Angeles Rams,21.4,82.9,10.2,51.33333333,30.8,0.513333333,13
Miami Dolphins,24.1,90,10.5,46,27.6,0.46,7
Minnesota Vikings,24.5,68.8,10.9,48.66666667,29.2,0.486666667,8
New England Patriots,27,84.4,7.7,53.33333333,32,0.533333333,11
New Orleans Saints,24.3,93.3,6.5,52.66666667,31.6,0.526666667,13
New York Giants,24.4,97,6.2,47.66666667,28.6,0.476666667,5
New York Jets,26.9,91.7,13,48.66666667,29.2,0.486666667,4
Philadelphia Eagles,22,83.9,6.5,53,31.8,0.53,9
Pittsburgh Steelers,19.3,69.3,8.1,51,30.6,0.51,9
San Francisco 49ers,26.2,97.1,5.8,49.33333333,29.6,0.493333333,4
Seattle Seahawks,23.1,81.5,5.7,51.5,30.9,0.515,10
Tampa Bay Buccaneers,20.4,74.1,6.3,50.33333333,30.2,0.503333333,5
Tennessee Titans,32,86.7,8.8,49,29.4,0.49,9
Washington Football Team,19.7,89.7,6.5,49.33333333,29.6,0.493333333,7
